2023-10-30 23:13:24,699 INFO    StreamThr :14734 [internal.py:wandb_internal():86] W&B internal server running at pid: 14734, started at: 2023-10-30 23:13:24.699492
2023-10-30 23:13:24,701 DEBUG   HandlerThread:14734 [handler.py:handle_request():146] handle_request: status
2023-10-30 23:13:24,701 INFO    WriterThread:14734 [datastore.py:open_for_write():85] open: /home/sjkim/ICLR2023/wandb/run-20231030_231324-jxsp5e85/run-jxsp5e85.wandb
2023-10-30 23:13:24,702 DEBUG   SenderThread:14734 [sender.py:send():380] send: header
2023-10-30 23:13:24,702 DEBUG   SenderThread:14734 [sender.py:send():380] send: run
2023-10-30 23:13:25,417 INFO    SenderThread:14734 [dir_watcher.py:__init__():211] watching files in: /home/sjkim/ICLR2023/wandb/run-20231030_231324-jxsp5e85/files
2023-10-30 23:13:25,417 INFO    SenderThread:14734 [sender.py:_start_run_threads():1122] run started: jxsp5e85 with start time 1698675204.699453
2023-10-30 23:13:25,421 DEBUG   HandlerThread:14734 [handler.py:handle_request():146] handle_request: check_version
2023-10-30 23:13:25,422 DEBUG   SenderThread:14734 [sender.py:send_request():407] send_request: check_version
2023-10-30 23:13:25,976 DEBUG   HandlerThread:14734 [handler.py:handle_request():146] handle_request: run_start
2023-10-30 23:13:25,995 DEBUG   HandlerThread:14734 [system_info.py:__init__():32] System info init
2023-10-30 23:13:25,995 DEBUG   HandlerThread:14734 [system_info.py:__init__():47] System info init done
2023-10-30 23:13:25,995 INFO    HandlerThread:14734 [system_monitor.py:start():194] Starting system monitor
2023-10-30 23:13:25,995 INFO    SystemMonitor:14734 [system_monitor.py:_start():158] Starting system asset monitoring threads
2023-10-30 23:13:25,995 INFO    HandlerThread:14734 [system_monitor.py:probe():214] Collecting system info
2023-10-30 23:13:25,996 INFO    SystemMonitor:14734 [interfaces.py:start():190] Started cpu monitoring
2023-10-30 23:13:25,996 INFO    SystemMonitor:14734 [interfaces.py:start():190] Started disk monitoring
2023-10-30 23:13:25,997 INFO    SystemMonitor:14734 [interfaces.py:start():190] Started gpu monitoring
2023-10-30 23:13:25,997 INFO    SystemMonitor:14734 [interfaces.py:start():190] Started memory monitoring
2023-10-30 23:13:25,998 INFO    SystemMonitor:14734 [interfaces.py:start():190] Started network monitoring
2023-10-30 23:13:26,009 DEBUG   HandlerThread:14734 [system_info.py:probe():196] Probing system
2023-10-30 23:13:26,034 DEBUG   HandlerThread:14734 [system_info.py:_probe_git():181] Probing git
2023-10-30 23:13:26,036 DEBUG   HandlerThread:14734 [system_info.py:_probe_git():189] Probing git done
2023-10-30 23:13:26,037 DEBUG   HandlerThread:14734 [system_info.py:probe():244] Probing system done
